,,Durham,England
Redworth,DL5,Durham,England
Rickleton,,Durham,England
Rift House,,Durham,England
Ripponden,,Durham,England
Rise Carr,,Durham,England
Rishworth,,Durham,England
Rochdale Canal,,Durham,England
Roddymoor,,Durham,England
Rodmer Clough,,Durham,England
Roker,,Durham,England
Romaldkirk,DL12,Durham,England
Rookhope,DL13,Durham,England
Roseworth,,Durham,England
Rowlands Gill,,Durham,England
Royal Oak,,Durham,England
Running Waters,,Durham,England
Rushford Beck,,Durham,England
Rushyford,DL17,Durham,England
Ryburn,,Durham,England
Ryhope,,Durham,England
Ryhope Colliery,,Durham,England
Ryton,,Durham,England
Ryton Woodside,,Durham,England
Sacriston,DH7,Durham,England
Sadberge,DL2,Durham,England
Saltwell,,Durham,England
Sandy Carrs,,Durham,England
Satley,DL13,Durham,England
Savile Park,,Durham,England
Scargill,DL12,Durham,England
Scholes,,Durham,England
School Aycliffe,,Durham,England
Seaburn,,Durham,England
Seaham,SR7,Durham,England
Seaton,SR7,Durham,England
Seaton Carew,,Durham,England
Sedgefield,TS21,Durham,England
Shackleton,,Durham,England
Shade,,Durham,England
Shadforth,DH6,Durham,England
Sheep Hill,,Durham,England
Shelf,,Durham,England
Sheraton,TS27,Durham,England
Sherburn,DH6,Durham,England
Sherburn Grange,,Durham,England
Sherburn Hill,,Durham,England
Sheriff Hill,,Durham,England
Shield Row,,Durham,England
Shildon,DL4,Durham,England
Shincliffe,DH1,Durham,England
Shiney Row,DH4,Durham,England
Shore,,Durham,England
Shotton,SR8,Durham,England
Shotton Colliery,DH6,Durham,England
Siddal,,Durham,England
Skerne,,Durham,England
Skerne Park,,Durham,England
Slack,,Durham,England
"Slack, The",,Durham,England
Snaisgill,,Durham,England
Soulgill Beck,,Durham,England
South Bents,,Durham,England
South Church,,Durham,England
South Hetton,DH6,Durham,England
South Hylton,,Durham,England
South Moor,DH9,Durham,England
South Pelaw,,Durham,England
South Side,,Durham,England
South Stanley,,Durham,England
South Wingate,TS27,Durham,England
Southowram,,Durham,England
Southwick,,Durham,England
Sowerby,,Durham,England
Sowerby Bridge,,Durham,England
Sowood,,Durham,England
Sowood Green,,Durham,England
Soyland Town,,Durham,England
Spennymoor,DL16,Durham,England
Springwell,,Durham,England
St Helen Auckland,DL14,Durham,England
Staindrop,DL2,Durham,England
Stainland,,Durham,England
Stainton,DL11,Durham,England
Stanhope,DL13,Durham,England
Stanley,DH9,Durham,England
Stanley Crook,,Durham,England
Stargate,,Durham,England
Startforth,DL12,Durham,England
Station Town,TS28,Durham,England
Steep Lane,,Durham,England
Stella,,Durham,England
Stillington,TS21,Durham,England
Stockton-on-Tees,TS21,Durham,England
Stone Chair,,Durham,England
Stoney Royd,,Durham,England
Stony Gate,,Durham,England
Stony Heap,,Durham,England
Street Gate,,Durham,England
Sulgrave,,Durham,England
Summerhouse,,Durham,England
Sunderland,DH4,Durham,England
Sunderland Bridge,DH6,Durham,England
Sunniside,DL13,Durham,England
Sunny Brow,,Durham,England
Swalwell,NE16,Durham,England
Tan Hills,,Durham,England
Tanfield,DH9,Durham,England
Tanfield Lea,,Durham,England
Tantobie,DH9,Durham,England
Team Valley,,Durham,England
Teams,,Durham,England
Teas,,Durham,England
Tees,,Durham,England
Templetown,,Durham,England
The Grove,,Durham,England
The Headland,,Durham,England
The Middles,,Durham,England
Thinford,,Durham,England
Thornaby-on-Tees,,Durham,England
Thorney Close,,Durham,England
Thornhills,,Durham,England
Thornley,DH6,Durham,England
Thornton,,Durham,England
Thorpe Larches,TS21,Durham,England
Thorpe Thewles,TS21,Durham,England
Thringarth,DL12,Durham,England
Tindale Crescent,,Durham,England
Todhills,,Durham,England
Todmorden,,Durham,England
Toft Hill,DL14,Durham,England
Tollesby,,Durham,England
Toothill,,Durham,England
Toronto,,Durham,England
Tow Law,DL13,Durham,England
Town Kelloe,,Durham,England
Townfield,,Durham,England
Triangle,,Durham,England
Trimdon,TS29,Durham,England
Trimdon Colliery,TS29,Durham,England
Trimdon Grange,TS29,Durham,England
Tudhoe,DL16,Durham,England
Tudhoe Grange,,Durham,England
Tunstall,,Durham,England
Tursdale,,Durham,England
Tyne,,Durham,England
Upper Brockholes,,Durham,England
Upper Town,,Durham,England
Urlay Nook,,Durham,England
Urpeth,,Durham,England
Ushaw Moor,DH7,Durham,England
Usworth,,Durham,England
Vale,,Durham,England
Wackerfield,DL2,Durham,England
Wainstalls,,Durham,England
Waldridge,DH2,Durham,England
Wall Nook,,Durham,England
Walsden,,Durham,England
Walworth,DL2,Durham,England
Walworth Gate,,Durham,England
Wardley,,Durham,England
Warland,,Durham,England
Warley Town,,Durham,England
Washington,,Durham,England
Washington Village,,Durham,England
Waskerley,DH8,Durham,England
Waterhouses,DH7,Durham,England
Wear,,Durham,England
Wearhead,DL13,Durham,England
West Auckland,DL14,Durham,England
West Blackdene,,Durham,England
West Butsfield,,Durham,England
West Cornforth,,Durham,England
West Herrington,,Durham,England
West Kyo,,Durham,England
West Lea,,Durham,England
West Park,,Durham,England
West Pasture,,Durham,England
West Pelton,,Durham,England
West Rainton,DH4,Durham,England
West Vale,,Durham,England
West View,,Durham,England
Western Hill,,Durham,England
Westerton,DL14,Durham,England
Westgate,DL13,Durham,England
Westwick,DL12,Durham,England
Wheatley,,Durham,England
Wheatley Hill,DH6,Durham,England
Whickham,NE16,Durham,England
Whinfield,,Durham,England
Whinny Hill,,Durham,England
White-le-Head,,Durham,England
Whitehills,,Durham,England
Whitton,TS21,Durham,England
Whorlton,DL12,Durham,England
Wickham Fell,,Durham,England
Willington,DL15,Durham,England
Windy Nook,,Durham,England
Wingate,TS28,Durham,England
Winlaton,,Durham,England
Winlaton Mill,,Durham,England
Winston,DL2,Durham,England
Witherwack,,Durham,England
Witton Gilbert,DH7,Durham,England
Witton Park,DL14,Durham,England
Witton-le-Wear,DL14,Durham,England
Wolsingham,DL13,Durham,England
Wolviston,,Durham,England
Wood Side,,Durham,England
Woodham,DL17,Durham,England
Woodham Burn,,Durham,England
Woodhouse,,Durham,England
Woodland,DL13,Durham,England
Woodlands,,Durham,England
Woodside,,Durham,England
Wrekenton,,Durham,England
Wycliffe,DL12,Durham,England
Yarm,,Durham,England
