,,Leicestershire,England
Smeeton Westerby,LE8,Leicestershire,England
Snarestone,DE12,Leicestershire,England
Snibston,LE67,Leicestershire,England
Soar,,Leicestershire,England
Somerby,LE14,Leicestershire,England
South Croxton,LE7,Leicestershire,England
South Kilworth,LE17,Leicestershire,England
South Knighton,,Leicestershire,England
South Wigston,LE18,Leicestershire,England
Spinney Hills,,Leicestershire,England
Sproxton,LE14,Leicestershire,England
Stanford on Soar,LE12,Leicestershire,England
Stanton under Bardon,LE67,Leicestershire,England
Stapleford,LE14,Leicestershire,England
Stapleton,LE9,Leicestershire,England
Stathern,LE14,Leicestershire,England
Stockerston,LE15,Leicestershire,England
Stoke Dry,LE15,Leicestershire,England
Stoke Golding,CV13,Leicestershire,England
Stonesby,LE14,Leicestershire,England
Stoney Stanton,LE9,Leicestershire,England
Stoneygate,,Leicestershire,England
Stonton Wyville,LE16,Leicestershire,England
Stoughton,LE7,Leicestershire,England
Stretton en le Field,DE12,Leicestershire,England
Sutton Cheney,CV13,Leicestershire,England
Sutton in the Elms,LE9,Leicestershire,England
Swannington,LE67,Leicestershire,England
Swepstone,LE67,Leicestershire,England
Swift,,Leicestershire,England
Swinford,LE17,Leicestershire,England
Swithland,LE12,Leicestershire,England
Syston,LE7,Leicestershire,England
The Brand,,Leicestershire,England
The Cross Hands,,Leicestershire,England
The Valley,,Leicestershire,England
The Woodlands,,Leicestershire,England
Theddingworth,LE17,Leicestershire,England
Thornton,LE67,Leicestershire,England
Thorpe Acre,LE11,Leicestershire,England
Thorpe Arnold,LE14,Leicestershire,England
Thorpe Langton,LE16,Leicestershire,England
Thorpe Satchville,LE14,Leicestershire,England
Thringstone,LE67,Leicestershire,England
Thrussington,LE7,Leicestershire,England
Thurcaston,LE7,Leicestershire,England
Thurlaston,LE9,Leicestershire,England
Thurmaston,LE4,Leicestershire,England
Thurnby,LE7,Leicestershire,England
Tilton on the Hill,LE7,Leicestershire,England
Tonge,DE73,Leicestershire,England
Trent,,Leicestershire,England
Tugby,LE7,Leicestershire,England
Tur Langton,LE8,Leicestershire,England
Twycross,CV9,Leicestershire,England
Twyford,DE73,Leicestershire,England
Ullesthorpe,LE17,Leicestershire,England
Upper Bruntingthorpe,,Leicestershire,England
Upper End,,Leicestershire,England
Upton,CV13,Leicestershire,England
Walcote,LE17,Leicestershire,England
Waltham on the Wolds,LE14,Leicestershire,England
Walton,LE17,Leicestershire,England
Walton on the Wolds,LE12,Leicestershire,England
Wanlip,LE7,Leicestershire,England
Wartnaby,LE14,Leicestershire,England
Welham,LE16,Leicestershire,England
Welland,,Leicestershire,England
Wellsborough,CV13,Leicestershire,England
West End,,Leicestershire,England
West Meadow Brook,,Leicestershire,England
Westcotes,,Leicestershire,England
Western Park,,Leicestershire,England
Whetstone,LE8,Leicestershire,England
Whitwick,LE67,Leicestershire,England
Wigston,LE18,Leicestershire,England
Wigston Magna,,Leicestershire,England
Willesley,LE65,Leicestershire,England
Willoughby Waterleys,LE8,Leicestershire,England
Wilson,DE73,Leicestershire,England
Wistow,,Leicestershire,England
Woodhouse,LE12,Leicestershire,England
Woodhouse Eaves,LE12,Leicestershire,England
Woodthorpe,LE12,Leicestershire,England
Woolsthorpe By Belvoir,,Leicestershire,England
Worthington,LE65,Leicestershire,England
Wreake,,Leicestershire,England
Wycomb,LE14,Leicestershire,England
Wyfordby,,Leicestershire,England
Wykin,,Leicestershire,England
Wymeswold,LE12,Leicestershire,England
Wymondham,LE14,Leicestershire,England
Zouch,,Leicestershire,England
