,,Dumfries and Galloway,Scotland
Lochan Burn,,Dumfries and Galloway,Scotland
Lochan Water,,Dumfries and Galloway,Scotland
Lochans,DG9,Dumfries and Galloway,Scotland
Locharbriggs,DG1,Dumfries and Galloway,Scotland
Lochfoot,DG2,Dumfries and Galloway,Scotland
Lochmaben,DG11,Dumfries and Galloway,Scotland
Lochside,,Dumfries and Galloway,Scotland
Lockerbie,DG11,Dumfries and Galloway,Scotland
Lowther Hills,,Dumfries and Galloway,Scotland
Lowthertown,,Dumfries and Galloway,Scotland
Main Water of Luce,,Dumfries and Galloway,Scotland
Mainsriddle,DG2,Dumfries and Galloway,Scotland
Mansegate,,Dumfries and Galloway,Scotland
Marjoriebanks,,Dumfries and Galloway,Scotland
Maxwelltown,DG2,Dumfries and Galloway,Scotland
Meggat Water,,Dumfries and Galloway,Scotland
Mennock,DG4,Dumfries and Galloway,Scotland
Mid Murthat,,Dumfries and Galloway,Scotland
Middlebie,DG11,Dumfries and Galloway,Scotland
Middleshaw,,Dumfries and Galloway,Scotland
Milleur Point,,Dumfries and Galloway,Scotland
Millhousebridge,DG11,Dumfries and Galloway,Scotland
Milton,DG2,Dumfries and Galloway,Scotland
Minnigaff,DG8,Dumfries and Galloway,Scotland
Mochrum,DG8,Dumfries and Galloway,Scotland
Moffat,DG10,Dumfries and Galloway,Scotland
Moffat Water,,Dumfries and Galloway,Scotland
Money Head,,Dumfries and Galloway,Scotland
Moniaive,DG3,Dumfries and Galloway,Scotland
Monreith,DG8,Dumfries and Galloway,Scotland
Moorend,,Dumfries and Galloway,Scotland
Morton Mains,,Dumfries and Galloway,Scotland
Mossdale,DG7,Dumfries and Galloway,Scotland
Mouswald,DG1,Dumfries and Galloway,Scotland
Mull Of Galloway,,Dumfries and Galloway,Scotland
Mull of Logan,,Dumfries and Galloway,Scotland
Murraythwaite,,Dumfries and Galloway,Scotland
Mutehill,,Dumfries and Galloway,Scotland
Nether Cassock,,Dumfries and Galloway,Scotland
Nether Clifton,,Dumfries and Galloway,Scotland
Nethermill,DG1,Dumfries and Galloway,Scotland
New Abbey,DG2,Dumfries and Galloway,Scotland
New Abbey Pow,,Dumfries and Galloway,Scotland
New Galloway,DG7,Dumfries and Galloway,Scotland
New Langholm,,Dumfries and Galloway,Scotland
New Luce,DG8,Dumfries and Galloway,Scotland
Newbie,,Dumfries and Galloway,Scotland
Newbridge,,Dumfries and Galloway,Scotland
Newlands,,Dumfries and Galloway,Scotland
Newton,DG10,Dumfries and Galloway,Scotland
Newton Stewart,DG8,Dumfries and Galloway,Scotland
Ninemile Bar (Crocketford),,Dumfries and Galloway,Scotland
Nith,,Dumfries and Galloway,Scotland
Nithbank,,Dumfries and Galloway,Scotland
Nithside,,Dumfries and Galloway,Scotland
